id,value
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 2.Limonene Hydroxylases.Cytochrome P-450 CYP2C9,D08.244.453.491.500.500
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 2.Limonene Hydroxylases.Cytochrome P-450 CYP2C19,D08.244.453.491.500.700
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 21,D08.244.453.493
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 21.Steroid 21-Hydroxylase,D08.244.453.493.500
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 24,D08.244.453.496
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 24.Vitamin D3 24-Hydroxylase,D08.244.453.496.500
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 26,D08.244.453.498
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 26.Retinoic Acid 4-Hydroxylase,D08.244.453.498.500
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 27,D08.244.453.499
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 27.25-Hydroxyvitamin D3 1-alpha-Hydroxylase,D08.244.453.499.500
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 27.Cholestanetriol 26-Monooxygenase,D08.244.453.499.750
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 3,D08.244.453.860
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 3.Cytochrome P-450 CYP3A,D08.244.453.860.500
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 4,D08.244.453.870
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 4.Cytochrome P-450 CYP4A,D08.244.453.870.500
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 46,D08.244.453.875
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 46.Cholesterol 24-Hydroxylase,D08.244.453.875.500
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 51,D08.244.453.878
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 51.Sterol 14-Demethylase,D08.244.453.878.500
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 6,D08.244.453.880
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 7,D08.244.453.890
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 7.Cholesterol 7-alpha-Hydroxylase,D08.244.453.890.500
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 8,D08.244.453.900
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 8.Steroid 12-alpha-Hydroxylase,D08.244.453.900.500
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Steroid Hydroxylases,D08.244.453.915
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Steroid Hydroxylases.Cholesterol 24-Hydroxylase,D08.244.453.915.025
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Steroid Hydroxylases.Cytochrome P-450 CYP11B2,D08.244.453.915.050
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Steroid Hydroxylases.Aromatase,D08.244.453.915.099
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Steroid Hydroxylases.Cholestanetriol 26-Monooxygenase,D08.244.453.915.149
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Steroid Hydroxylases.Cholesterol 7-alpha-Hydroxylase,D08.244.453.915.200
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Steroid Hydroxylases.Cholesterol Side-Chain Cleavage Enzyme,D08.244.453.915.212
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Steroid Hydroxylases.25-Hydroxyvitamin D3 1-alpha-Hydroxylase,D08.244.453.915.400
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Steroid Hydroxylases.Steroid 12-alpha-Hydroxylase,D08.244.453.915.730
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Steroid Hydroxylases.Steroid 16-alpha-Hydroxylase,D08.244.453.915.737
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Steroid Hydroxylases.Steroid 17-alpha-Hydroxylase,D08.244.453.915.748
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Steroid Hydroxylases.Steroid 11-beta-Hydroxylase,D08.244.453.915.750
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Steroid Hydroxylases.Steroid 21-Hydroxylase,D08.244.453.915.760
