id,value
Complex Mixtures.Venoms.Arthropod Venoms.Bee Venoms.Melitten,D20.888.065.115.580
Complex Mixtures.Venoms.Arthropod Venoms.Scorpion Venoms,D20.888.065.830
Complex Mixtures.Venoms.Arthropod Venoms.Scorpion Venoms.Charybdotoxin,D20.888.065.830.150
Complex Mixtures.Venoms.Arthropod Venoms.Spider Venoms,D20.888.065.870
Complex Mixtures.Venoms.Arthropod Venoms.Spider Venoms.Agatoxins,D20.888.065.870.324
Complex Mixtures.Venoms.Arthropod Venoms.Spider Venoms.Agatoxins.omega-Agatoxin IVA,D20.888.065.870.324.500
Complex Mixtures.Venoms.Arthropod Venoms.Wasp Venoms,D20.888.065.970
Complex Mixtures.Venoms.Cnidarian Venoms,D20.888.230
Complex Mixtures.Venoms.Fish Venoms,D20.888.370
Complex Mixtures.Venoms.Mollusk Venoms,D20.888.590
Complex Mixtures.Venoms.Mollusk Venoms.Conotoxins,D20.888.590.162
Complex Mixtures.Venoms.Mollusk Venoms.Conotoxins.omega-Conotoxins,D20.888.590.162.720
Complex Mixtures.Venoms.Mollusk Venoms.Conotoxins.omega-Conotoxins.omega-Conotoxin GVIA,D20.888.590.162.720.700
Complex Mixtures.Venoms.Mollusk Venoms.Eledoisin,D20.888.590.325
Complex Mixtures.Venoms.Snake Venoms,D20.888.850
Complex Mixtures.Venoms.Snake Venoms.Elapid Venoms,D20.888.850.325
Complex Mixtures.Venoms.Snake Venoms.Elapid Venoms.Bungarotoxins,D20.888.850.325.139
Complex Mixtures.Venoms.Snake Venoms.Elapid Venoms.Cobra Cardiotoxin Proteins,D20.888.850.325.180
Complex Mixtures.Venoms.Snake Venoms.Elapid Venoms.Cobra Neurotoxin Proteins,D20.888.850.325.200
Complex Mixtures.Venoms.Snake Venoms.Viper Venoms,D20.888.850.960
Complex Mixtures.Venoms.Snake Venoms.Viper Venoms.Crotalid Venoms,D20.888.850.960.200
Complex Mixtures.Venoms.Snake Venoms.Viper Venoms.Crotalid Venoms.Ancrod,D20.888.850.960.200.050
Complex Mixtures.Venoms.Snake Venoms.Viper Venoms.Crotalid Venoms.Batroxobin,D20.888.850.960.200.105
Complex Mixtures.Venoms.Snake Venoms.Viper Venoms.Crotalid Venoms.Crotoxin,D20.888.850.960.200.210
Complex Mixtures.Waste Products,D20.944
Complex Mixtures.Waste Products.Hazardous Waste,D20.944.380
Complex Mixtures.Waste Products.Hazardous Waste.Radioactive Waste,D20.944.380.638
Complex Mixtures.Waste Products.Industrial Waste,D20.944.420
Complex Mixtures.Waste Products.Medical Waste,D20.944.460
Complex Mixtures.Waste Products.Medical Waste.Dental Waste,D20.944.460.150
Complex Mixtures.Waste Products.Medical Waste.Medical Waste Disposal,D20.944.460.300
Complex Mixtures.Waste Products.Solid Waste,D20.944.730
Complex Mixtures.Waste Products.Waste Water,D20.944.932
Complex Mixtures.Waste Products.Waste Water.Sewage,D20.944.932.500
