id,value
Complex Mixtures.Biological Products.Vaccines.Toxoids.Tetanus Toxoid,D20.215.894.691.824
Complex Mixtures.Biological Products.Vaccines.Toxoids.Tetanus Toxoid.Diphtheria-Tetanus-acellular Pertussis Vaccines,D20.215.894.691.824.290
Complex Mixtures.Biological Products.Vaccines.Toxoids.Tetanus Toxoid.Diphtheria-Tetanus-Pertussis Vaccine,D20.215.894.691.824.300
Complex Mixtures.Biological Products.Vaccines.Toxoids.Tetanus Toxoid.Diphtheria-Tetanus Vaccine,D20.215.894.691.824.310
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Attenuated",D20.215.894.811
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Combined",D20.215.894.815
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Combined.Diphtheria-Tetanus-acellular Pertussis Vaccines",D20.215.894.815.149
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Combined.Diphtheria-Tetanus-Pertussis Vaccine",D20.215.894.815.300
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Combined.Diphtheria-Tetanus Vaccine",D20.215.894.815.320
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Combined.Measles-Mumps-Rubella Vaccine",D20.215.894.815.500
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Contraceptive",D20.215.894.818
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Inactivated",D20.215.894.830
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Inactivated.Poliovirus Vaccine, Inactivated",D20.215.894.830.614
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Marker",D20.215.894.845
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Subunit",D20.215.894.860
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Subunit.ISCOMs",D20.215.894.860.449
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Subunit.Vaccines, Acellular",D20.215.894.860.900
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Subunit.Vaccines, Acellular.Diphtheria-Tetanus-acellular Pertussis Vaccines",D20.215.894.860.900.267
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Subunit.Vaccines, Edible",D20.215.894.860.915
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Synthetic",D20.215.894.865
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Synthetic.Vaccines, Conjugate",D20.215.894.865.900
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Synthetic.Vaccines, DNA",D20.215.894.865.910
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Synthetic.Vaccines, Edible",D20.215.894.865.915
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Synthetic.Vaccines, Virosome",D20.215.894.865.940
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Synthetic.Vaccines, Virus-Like Particle",D20.215.894.865.955
"Complex Mixtures.Biological Products.Vaccines.Vaccines, Live, Unattenuated",D20.215.894.882
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines,D20.215.894.899
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Adenovirus Vaccines,D20.215.894.899.024
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.AIDS Vaccines,D20.215.894.899.050
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Cytomegalovirus Vaccines,D20.215.894.899.120
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Dengue Vaccines,D20.215.894.899.162
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Ebola Vaccines,D20.215.894.899.205
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Herpesvirus Vaccines,D20.215.894.899.290
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Herpesvirus Vaccines.Chickenpox Vaccine,D20.215.894.899.290.130
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Herpesvirus Vaccines.Chickenpox Vaccine.Herpes Zoster Vaccine,D20.215.894.899.290.130.400
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Herpesvirus Vaccines.Herpes Simplex Virus Vaccines,D20.215.894.899.290.400
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Herpesvirus Vaccines.Marek Disease Vaccines,D20.215.894.899.290.500
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Influenza Vaccines,D20.215.894.899.302
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Japanese Encephalitis Vaccines,D20.215.894.899.320
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Measles Vaccine,D20.215.894.899.404
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Measles Vaccine.Measles-Mumps-Rubella Vaccine,D20.215.894.899.404.500
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Mumps Vaccine,D20.215.894.899.488
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Mumps Vaccine.Measles-Mumps-Rubella Vaccine,D20.215.894.899.488.500
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Papillomavirus Vaccines,D20.215.894.899.498
