id,value
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Antisense",D13.444.735.150
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Antisense.MicroRNAs",D13.444.735.150.319
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Antisense.MicroRNAs.Circulating MicroRNA",D13.444.735.150.319.500
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Antisense.Oligoribonucleotides, Antisense",D13.444.735.150.640
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Antisense.RNA, Small Interfering",D13.444.735.150.700
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Archaeal",D13.444.735.300
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Bacterial",D13.444.735.473
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Complementary",D13.444.735.480
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Double-Stranded",D13.444.735.490
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Fungal",D13.444.735.500
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Helminth",D13.444.735.520
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Messenger",D13.444.735.544
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Messenger.Codon",D13.444.735.544.355
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Messenger.Codon.Codon, Initiator",D13.444.735.544.355.225
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Messenger.Codon.Codon, Terminator",D13.444.735.544.355.250
