id,value
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Stage-Specific Embryonic Antigens.Lewis X Antigen",D23.050.301.264.965.500
"Biological Factors.Antigens.Antigens, Surface.Arrestin",D23.050.301.280
"Biological Factors.Antigens.Antigens, Surface.B7 Antigens",D23.050.301.285
"Biological Factors.Antigens.Antigens, Surface.B7 Antigens.B7-1 Antigen",D23.050.301.285.100
"Biological Factors.Antigens.Antigens, Surface.B7 Antigens.B7-2 Antigen",D23.050.301.285.200
"Biological Factors.Antigens.Antigens, Surface.B7 Antigens.B7-H1 Antigen",D23.050.301.285.400
"Biological Factors.Antigens.Antigens, Surface.B7 Antigens.Inducible T-Cell Co-Stimulator Ligand",D23.050.301.285.500
"Biological Factors.Antigens.Antigens, Surface.B7 Antigens.Programmed Cell Death 1 Ligand 2 Protein",D23.050.301.285.800
"Biological Factors.Antigens.Antigens, Surface.B7 Antigens.V-Set Domain-Containing T-Cell Activation Inhibitor 1",D23.050.301.285.900
"Biological Factors.Antigens.Antigens, Surface.Blood Group Antigens",D23.050.301.290
"Biological Factors.Antigens.Antigens, Surface.Blood Group Antigens.ABO Blood-Group System",D23.050.301.290.031
"Biological Factors.Antigens.Antigens, Surface.Blood Group Antigens.Duffy Blood-Group System",D23.050.301.290.301
"Biological Factors.Antigens.Antigens, Surface.Blood Group Antigens.I Blood-Group System",D23.050.301.290.501
"Biological Factors.Antigens.Antigens, Surface.Blood Group Antigens.Kell Blood-Group System",D23.050.301.290.533
"Biological Factors.Antigens.Antigens, Surface.Blood Group Antigens.Kidd Blood-Group System",D23.050.301.290.538
"Biological Factors.Antigens.Antigens, Surface.Blood Group Antigens.Lewis Blood-Group System",D23.050.301.290.544
"Biological Factors.Antigens.Antigens, Surface.Blood Group Antigens.Lewis Blood-Group System.Lewis X Antigen",D23.050.301.290.544.059
"Biological Factors.Antigens.Antigens, Surface.Blood Group Antigens.Lewis Blood-Group System.CA-19-9 Antigen",D23.050.301.290.544.119
"Biological Factors.Antigens.Antigens, Surface.Blood Group Antigens.Lutheran Blood-Group System",D23.050.301.290.552
"Biological Factors.Antigens.Antigens, Surface.Blood Group Antigens.MNSs Blood-Group System",D23.050.301.290.606
"Biological Factors.Antigens.Antigens, Surface.Blood Group Antigens.P Blood-Group System",D23.050.301.290.691
"Biological Factors.Antigens.Antigens, Surface.Blood Group Antigens.Rh-Hr Blood-Group System",D23.050.301.290.775
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules",D23.050.301.350
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.12E7 Antigen",D23.050.301.350.049
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.CD11 Antigens",D23.050.301.350.074
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.CD11 Antigens.CD11a Antigen",D23.050.301.350.074.024
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.CD11 Antigens.CD11b Antigen",D23.050.301.350.074.049
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.CD11 Antigens.CD11c Antigen",D23.050.301.350.074.074
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.CD11 Antigens.Lymphocyte Function-Associated Antigen-1",D23.050.301.350.074.400
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.CD24 Antigen",D23.050.301.350.098
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Cell Adhesion Molecule-1",D23.050.301.350.115
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Nectins",D23.050.301.350.123
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Platelet Endothelial Cell Adhesion Molecule-1",D23.050.301.350.131
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.CD146 Antigen",D23.050.301.350.150
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Endolyn",D23.050.301.350.154
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Cadherins",D23.050.301.350.200
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Cadherins.Desmosomal Cadherins",D23.050.301.350.200.500
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Cadherins.Desmosomal Cadherins.Desmocollins",D23.050.301.350.200.500.249
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Cadherins.Desmosomal Cadherins.Desmogleins",D23.050.301.350.200.500.500
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Cadherins.Desmosomal Cadherins.Desmogleins.Desmoglein 1",D23.050.301.350.200.500.500.500
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Cadherins.Desmosomal Cadherins.Desmogleins.Desmoglein 2",D23.050.301.350.200.500.500.625
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Cadherins.Desmosomal Cadherins.Desmogleins.Desmoglein 3",D23.050.301.350.200.500.500.750
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Carcinoembryonic Antigen",D23.050.301.350.210
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.CD4 Immunoadhesins",D23.050.301.350.230
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Cell Adhesion Molecules, Neuronal",D23.050.301.350.250
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Cell Adhesion Molecules, Neuronal.Cell Adhesion Molecules, Neuron-Glia",D23.050.301.350.250.150
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Cell Adhesion Molecules, Neuronal.Cell Adhesion Molecules, Neuron-Glia.Activated-Leukocyte Cell Adhesion Molecule",D23.050.301.350.250.150.050
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Cell Adhesion Molecules, Neuronal.Contactins",D23.050.301.350.250.325
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Cell Adhesion Molecules, Neuronal.Contactins.Contactin 1",D23.050.301.350.250.325.100
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Cell Adhesion Molecules, Neuronal.Contactins.Contactin 2",D23.050.301.350.250.325.200
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Cell Adhesion Molecules, Neuronal.Myelin P0 Protein",D23.050.301.350.250.500
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Cell Adhesion Molecules, Neuronal.Neural Cell Adhesion Molecules",D23.050.301.350.250.520
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Cell Adhesion Molecules, Neuronal.Neural Cell Adhesion Molecules.CD56 Antigen",D23.050.301.350.250.520.156
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Cell Adhesion Molecules, Neuronal.Neural Cell Adhesion Molecules.Neural Cell Adhesion Molecule L1",D23.050.301.350.250.520.578
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Cell Adhesion Molecules, Neuronal.Neural Cell Adhesion Molecules.Neurocan",D23.050.301.350.250.520.789
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Epithelial Cell Adhesion Molecule",D23.050.301.350.263
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Integrin alphaXbeta2",D23.050.301.350.275
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Integrin alphaXbeta2.CD11c Antigen",D23.050.301.350.275.500
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Integrin alphaXbeta2.CD18 Antigens",D23.050.301.350.275.750
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Intercellular Adhesion Molecule-1",D23.050.301.350.450
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Intercellular Adhesion Molecule-3",D23.050.301.350.494
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Junctional Adhesion Molecules",D23.050.301.350.537
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Junctional Adhesion Molecules.Coxsackie and Adenovirus Receptor-Like Membrane Protein",D23.050.301.350.537.500
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Junctional Adhesion Molecules.Junctional Adhesion Molecule A",D23.050.301.350.537.750
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Junctional Adhesion Molecules.Junctional Adhesion Molecule B",D23.050.301.350.537.875
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Junctional Adhesion Molecules.Junctional Adhesion Molecule C",D23.050.301.350.537.937
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Receptors, Lymphocyte Homing",D23.050.301.350.625
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Receptors, Lymphocyte Homing.Hyaluronan Receptors",D23.050.301.350.625.144
"Biological Factors.Antigens.Antigens, Surface.Cell Adhesion Molecules.Receptors, Lymphocyte Homing.Integrin alpha4beta1",D23.050.301.350.625.347
