id,value
Inorganic Chemicals.Calcium Compounds.Calcium Phosphates.Apatites.Hydroxyapatites.Durapatite,D01.146.360.050.300.200
Inorganic Chemicals.Calcium Compounds.Calcium Phosphates.Calcium Pyrophosphate,D01.146.360.150
Inorganic Chemicals.Calcium Compounds.Calcium Sulfate,D01.146.375
"Inorganic Chemicals.Carbon Compounds, Inorganic",D01.200
"Inorganic Chemicals.Carbon Compounds, Inorganic.Carbon Dioxide",D01.200.200
"Inorganic Chemicals.Carbon Compounds, Inorganic.Carbon Dioxide.Dry Ice",D01.200.200.250
"Inorganic Chemicals.Carbon Compounds, Inorganic.Carbon Disulfide",D01.200.210
"Inorganic Chemicals.Carbon Compounds, Inorganic.Carbon Monoxide",D01.200.250
"Inorganic Chemicals.Carbon Compounds, Inorganic.Carbonic Acid",D01.200.275
"Inorganic Chemicals.Carbon Compounds, Inorganic.Carbonic Acid.Carbonates",D01.200.275.150
"Inorganic Chemicals.Carbon Compounds, Inorganic.Carbonic Acid.Carbonates.Bicarbonates",D01.200.275.150.100
"Inorganic Chemicals.Carbon Compounds, Inorganic.Carbonic Acid.Carbonates.Bicarbonates.Sodium Bicarbonate",D01.200.275.150.100.800
"Inorganic Chemicals.Carbon Compounds, Inorganic.Carbonic Acid.Carbonates.Calcium Carbonate",D01.200.275.150.150
"Inorganic Chemicals.Carbon Compounds, Inorganic.Carbonic Acid.Carbonates.Calcium Carbonate.Nacre",D01.200.275.150.150.500
"Inorganic Chemicals.Carbon Compounds, Inorganic.Carbonic Acid.Carbonates.Lithium Carbonate",D01.200.275.150.550
Inorganic Chemicals.Chlorine Compounds,D01.210
Inorganic Chemicals.Chlorine Compounds.Chloramines,D01.210.150
Inorganic Chemicals.Chlorine Compounds.Chlorates,D01.210.300
Inorganic Chemicals.Chlorine Compounds.Cisplatin,D01.210.375
Inorganic Chemicals.Chlorine Compounds.Hydrochloric Acid,D01.210.450
Inorganic Chemicals.Chlorine Compounds.Hydrochloric Acid.Chlorides,D01.210.450.150
Inorganic Chemicals.Chlorine Compounds.Hydrochloric Acid.Chlorides.Ammonium Chloride,D01.210.450.150.050
Inorganic Chemicals.Chlorine Compounds.Hydrochloric Acid.Chlorides.Cadmium Chloride,D01.210.450.150.125
Inorganic Chemicals.Chlorine Compounds.Hydrochloric Acid.Chlorides.Calcium Chloride,D01.210.450.150.150
Inorganic Chemicals.Chlorine Compounds.Hydrochloric Acid.Chlorides.Lithium Chloride,D01.210.450.150.450
Inorganic Chemicals.Chlorine Compounds.Hydrochloric Acid.Chlorides.Magnesium Chloride,D01.210.450.150.500
Inorganic Chemicals.Chlorine Compounds.Hydrochloric Acid.Chlorides.Mercuric Chloride,D01.210.450.150.525
Inorganic Chemicals.Chlorine Compounds.Hydrochloric Acid.Chlorides.Potassium Chloride,D01.210.450.150.750
Inorganic Chemicals.Chlorine Compounds.Hydrochloric Acid.Chlorides.Sodium Chloride,D01.210.450.150.875
Inorganic Chemicals.Chlorine Compounds.Hypochlorous Acid,D01.210.465
Inorganic Chemicals.Chlorine Compounds.Hypochlorous Acid.Sodium Hypochlorite,D01.210.465.800
Inorganic Chemicals.Chlorine Compounds.Perchlorates,D01.210.675
Inorganic Chemicals.Chlorine Compounds.Ruthenium Red,D01.210.837
Inorganic Chemicals.Chromium Compounds,D01.220
Inorganic Chemicals.Chromium Compounds.Chromates,D01.220.150
Inorganic Chemicals.Chromium Compounds.Chromates.Potassium Dichromate,D01.220.150.650
Inorganic Chemicals.Chromium Compounds.Chromium Alloys,D01.220.175
Inorganic Chemicals.Chromium Compounds.Chromium Alloys.Vitallium,D01.220.175.950
Inorganic Chemicals.Coordination Complexes,D01.234
Inorganic Chemicals.Electrolytes,D01.248
Inorganic Chemicals.Electrolytes.Polyelectrolytes,D01.248.249
Inorganic Chemicals.Electrolytes.Ions,D01.248.497
Inorganic Chemicals.Electrolytes.Ions.Anions,D01.248.497.158
Inorganic Chemicals.Electrolytes.Ions.Anions.Arsenates,D01.248.497.158.050
Inorganic Chemicals.Electrolytes.Ions.Anions.Arsenites,D01.248.497.158.055
Inorganic Chemicals.Electrolytes.Ions.Anions.Borates,D01.248.497.158.076
Inorganic Chemicals.Electrolytes.Ions.Anions.Bromates,D01.248.497.158.100
Inorganic Chemicals.Electrolytes.Ions.Anions.Bromides,D01.248.497.158.125
Inorganic Chemicals.Electrolytes.Ions.Anions.Carbonates,D01.248.497.158.165
Inorganic Chemicals.Electrolytes.Ions.Anions.Carbonates.Bicarbonates,D01.248.497.158.165.100
Inorganic Chemicals.Electrolytes.Ions.Anions.Chlorates,D01.248.497.158.190
Inorganic Chemicals.Electrolytes.Ions.Anions.Chlorides,D01.248.497.158.215
Inorganic Chemicals.Electrolytes.Ions.Anions.Chromates,D01.248.497.158.235
Inorganic Chemicals.Electrolytes.Ions.Anions.Cyanides,D01.248.497.158.291
Inorganic Chemicals.Electrolytes.Ions.Anions.Cyanides.Ferricyanides,D01.248.497.158.291.350
Inorganic Chemicals.Electrolytes.Ions.Anions.Cyanides.Ferricyanides.Nitroprusside,D01.248.497.158.291.350.550
Inorganic Chemicals.Electrolytes.Ions.Anions.Cyanides.Ferrocyanides,D01.248.497.158.291.370
Inorganic Chemicals.Electrolytes.Ions.Anions.Fluorides,D01.248.497.158.380
Inorganic Chemicals.Electrolytes.Ions.Anions.Hydroxides,D01.248.497.158.459
Inorganic Chemicals.Electrolytes.Ions.Anions.Hydroxides.Aluminum Hydroxide,D01.248.497.158.459.075
Inorganic Chemicals.Electrolytes.Ions.Anions.Hydroxides.Ammonium Hydroxide,D01.248.497.158.459.113
Inorganic Chemicals.Electrolytes.Ions.Anions.Hydroxides.Calcium Hydroxide,D01.248.497.158.459.150
Inorganic Chemicals.Electrolytes.Ions.Anions.Hydroxides.Hydroxyl Radical,D01.248.497.158.459.300
Inorganic Chemicals.Electrolytes.Ions.Anions.Hydroxides.Lye,D01.248.497.158.459.344
Inorganic Chemicals.Electrolytes.Ions.Anions.Hydroxides.Magnesium Hydroxide,D01.248.497.158.459.388
Inorganic Chemicals.Electrolytes.Ions.Anions.Hydroxides.Sodium Hydroxide,D01.248.497.158.459.475
Inorganic Chemicals.Electrolytes.Ions.Anions.Hydroxides.Water,D01.248.497.158.459.650
Inorganic Chemicals.Electrolytes.Ions.Anions.Hydroxides.Water.Deuterium Oxide,D01.248.497.158.459.650.200
Inorganic Chemicals.Electrolytes.Ions.Anions.Hydroxides.Water.Drinking Water,D01.248.497.158.459.650.300
Inorganic Chemicals.Electrolytes.Ions.Anions.Hydroxides.Water.Ice,D01.248.497.158.459.650.400
Inorganic Chemicals.Electrolytes.Ions.Anions.Hydroxides.Water.Mineral Waters,D01.248.497.158.459.650.600
Inorganic Chemicals.Electrolytes.Ions.Anions.Hydroxides.Water.Mineral Waters.Carbonated Water,D01.248.497.158.459.650.600.500
Inorganic Chemicals.Electrolytes.Ions.Anions.Hydroxides.Water.Steam,D01.248.497.158.459.650.800
Inorganic Chemicals.Electrolytes.Ions.Anions.Iodates,D01.248.497.158.480
Inorganic Chemicals.Electrolytes.Ions.Anions.Iodides,D01.248.497.158.490
Inorganic Chemicals.Electrolytes.Ions.Anions.Nitrates,D01.248.497.158.606
Inorganic Chemicals.Electrolytes.Ions.Anions.Nitrites,D01.248.497.158.635
Inorganic Chemicals.Electrolytes.Ions.Anions.Oxides,D01.248.497.158.685
