id,value
Carbohydrates.Glycosides.Nucleotides.Nucleoside Diphosphate Sugars.Uridine Diphosphate Sugars.Uridine Diphosphate Glucuronic Acid,D09.408.620.569.727.375
Carbohydrates.Glycosides.Nucleotides.Nucleoside Diphosphate Sugars.Uridine Diphosphate Sugars.Uridine Diphosphate Xylose,D09.408.620.569.727.800
Carbohydrates.Glycosides.Olivomycins,D09.408.661
Carbohydrates.Glycosides.Phlorhizin,D09.408.702
Carbohydrates.Glycosides.Saponins,D09.408.782
Carbohydrates.Glycosides.Saponins.Escin,D09.408.782.250
Carbohydrates.Glycosides.Saponins.Ginsenosides,D09.408.782.300
Carbohydrates.Glycosides.Saponins.Holothurin,D09.408.782.350
Carbohydrates.Glycosides.Saponins.Quillaja Saponins,D09.408.782.512
Carbohydrates.Glycosides.Saponins.Solanine,D09.408.782.674
Carbohydrates.Glycosides.Teichoic Acids,D09.408.872
Carbohydrates.Glycosides.Thioglycosides,D09.408.903
Carbohydrates.Glycosides.Thioglycosides.Thiogalactosides,D09.408.903.600
Carbohydrates.Glycosides.Thioglycosides.Thiogalactosides.Isopropyl Thiogalactoside,D09.408.903.600.500
Carbohydrates.Glycosides.Thioglycosides.Thioglucosides,D09.408.903.703
Carbohydrates.Glycosides.Thioglycosides.Thioglucosides.Glucosinolates,D09.408.903.703.350
Carbohydrates.Glycosides.Tomatine,D09.408.934
Carbohydrates.Imino Sugars,D09.553
Carbohydrates.Imino Sugars.Imino Furanoses,D09.553.249
Carbohydrates.Imino Sugars.Imino Pyranoses,D09.553.500
Carbohydrates.Imino Sugars.Imino Pyranoses.1-Deoxynojirimycin,D09.553.500.033
Carbohydrates.Polysaccharides,D09.698
Carbohydrates.Polysaccharides.Alginates,D09.698.068
Carbohydrates.Polysaccharides.Carrageenan,D09.698.152
Carbohydrates.Polysaccharides.Chitin,D09.698.211
Carbohydrates.Polysaccharides.Chitin.Chitosan,D09.698.211.500
Carbohydrates.Polysaccharides.Ficoll,D09.698.330
Carbohydrates.Polysaccharides.Fructans,D09.698.350
Carbohydrates.Polysaccharides.Fructans.Inulin,D09.698.350.500
Carbohydrates.Polysaccharides.Fungal Polysaccharides,D09.698.357
Carbohydrates.Polysaccharides.Galactans,D09.698.360
Carbohydrates.Polysaccharides.Galactans.Agar,D09.698.360.041
Carbohydrates.Polysaccharides.Glucans,D09.698.365
Carbohydrates.Polysaccharides.Glucans.beta-Glucans,D09.698.365.089
Carbohydrates.Polysaccharides.Glucans.beta-Glucans.Lentinan,D09.698.365.089.500
Carbohydrates.Polysaccharides.Glucans.beta-Glucans.Sizofiran,D09.698.365.089.625
Carbohydrates.Polysaccharides.Glucans.beta-Glucans.Zymosan,D09.698.365.089.750
Carbohydrates.Polysaccharides.Glucans.Cellulose,D09.698.365.180
Carbohydrates.Polysaccharides.Glucans.Cellulose.Cellobiose,D09.698.365.180.180
"Carbohydrates.Polysaccharides.Glucans.Cellulose.Cellulose, Oxidized",D09.698.365.180.200
Carbohydrates.Polysaccharides.Glucans.Cellulose.DEAE-Cellulose,D09.698.365.180.247
Carbohydrates.Polysaccharides.Glucans.Cellulose.Hypromellose Derivatives,D09.698.365.180.455
Carbohydrates.Polysaccharides.Glucans.Cellulose.Methylcellulose,D09.698.365.180.663
Carbohydrates.Polysaccharides.Glucans.Cellulose.Methylcellulose.Carboxymethylcellulose Sodium,D09.698.365.180.663.329
Carbohydrates.Polysaccharides.Glucans.Dextrans,D09.698.365.272
Carbohydrates.Polysaccharides.Glucans.Dextrans.DEAE-Dextran,D09.698.365.272.250
Carbohydrates.Polysaccharides.Glucans.Dextrans.Dextran Sulfate,D09.698.365.272.300
Carbohydrates.Polysaccharides.Glucans.Dextrans.Iron-Dextran Complex,D09.698.365.272.400
Carbohydrates.Polysaccharides.Glucans.Glycogen,D09.698.365.388
Carbohydrates.Polysaccharides.Glucans.Glycogen.Liver Glycogen,D09.698.365.388.518
Carbohydrates.Polysaccharides.Glucans.Isomaltose,D09.698.365.410
Carbohydrates.Polysaccharides.Glucans.Maltose,D09.698.365.450
Carbohydrates.Polysaccharides.Glucans.Starch,D09.698.365.855
Carbohydrates.Polysaccharides.Glucans.Starch.Amylopectin,D09.698.365.855.194
Carbohydrates.Polysaccharides.Glucans.Starch.Amylose,D09.698.365.855.361
Carbohydrates.Polysaccharides.Glucans.Starch.Dextrins,D09.698.365.855.400
Carbohydrates.Polysaccharides.Glucans.Starch.Dextrins.Cyclodextrins,D09.698.365.855.400.375
Carbohydrates.Polysaccharides.Glucans.Starch.Dextrins.Cyclodextrins.alpha-Cyclodextrins,D09.698.365.855.400.375.222
Carbohydrates.Polysaccharides.Glucans.Starch.Dextrins.Cyclodextrins.beta-Cyclodextrins,D09.698.365.855.400.375.333
Carbohydrates.Polysaccharides.Glucans.Starch.Dextrins.Cyclodextrins.beta-Cyclodextrins.2-Hydroxypropyl-beta-cyclodextrin,D09.698.365.855.400.375.333.500
Carbohydrates.Polysaccharides.Glucans.Starch.Dextrins.Cyclodextrins.gamma-Cyclodextrins,D09.698.365.855.400.375.444
Carbohydrates.Polysaccharides.Glucans.Starch.Hydroxyethyl Starch Derivatives,D09.698.365.855.500
Carbohydrates.Polysaccharides.Glucans.Starch.Inulin,D09.698.365.855.750
Carbohydrates.Polysaccharides.Glucans.Trehalose,D09.698.365.900
Carbohydrates.Polysaccharides.Glycosaminoglycans,D09.698.373
Carbohydrates.Polysaccharides.Glycosaminoglycans.Chondroitin,D09.698.373.200
Carbohydrates.Polysaccharides.Glycosaminoglycans.Chondroitin.Chondroitin Sulfates,D09.698.373.200.300
Carbohydrates.Polysaccharides.Glycosaminoglycans.Chondroitin.Dermatan Sulfate,D09.698.373.200.380
Carbohydrates.Polysaccharides.Glycosaminoglycans.Heparin,D09.698.373.400
"Carbohydrates.Polysaccharides.Glycosaminoglycans.Heparin.Heparin, Low-Molecular-Weight",D09.698.373.400.300
"Carbohydrates.Polysaccharides.Glycosaminoglycans.Heparin.Heparin, Low-Molecular-Weight.Dalteparin",D09.698.373.400.300.150
"Carbohydrates.Polysaccharides.Glycosaminoglycans.Heparin.Heparin, Low-Molecular-Weight.Enoxaparin",D09.698.373.400.300.200
"Carbohydrates.Polysaccharides.Glycosaminoglycans.Heparin.Heparin, Low-Molecular-Weight.Nadroparin",D09.698.373.400.300.600
Carbohydrates.Polysaccharides.Glycosaminoglycans.Heparin.Heparinoids,D09.698.373.400.320
Carbohydrates.Polysaccharides.Glycosaminoglycans.Heparitin Sulfate,D09.698.373.425
Carbohydrates.Polysaccharides.Glycosaminoglycans.Heparitin Sulfate.Heparan Sulfate Proteoglycans,D09.698.373.425.500
Carbohydrates.Polysaccharides.Glycosaminoglycans.Hyaluronic Acid,D09.698.373.475
Carbohydrates.Polysaccharides.Glycosaminoglycans.Keratan Sulfate,D09.698.373.550
Carbohydrates.Polysaccharides.Mannans,D09.698.550
Carbohydrates.Polysaccharides.Oligosaccharides,D09.698.629
Carbohydrates.Polysaccharides.Oligosaccharides.Disaccharides,D09.698.629.305
