id,value
Macromolecular Substances.Multiprotein Complexes.Troponin,D05.500.945
Macromolecular Substances.Multiprotein Complexes.Troponin.Troponin C,D05.500.945.900
Macromolecular Substances.Multiprotein Complexes.Troponin.Troponin I,D05.500.945.925
Macromolecular Substances.Multiprotein Complexes.Troponin.Troponin T,D05.500.945.962
Macromolecular Substances.Polymers,D05.750
Macromolecular Substances.Polymers.Biopolymers,D05.750.078
Macromolecular Substances.Polymers.Biopolymers.Chitin,D05.750.078.139
Macromolecular Substances.Polymers.Biopolymers.Chitin.Chitosan,D05.750.078.139.500
Macromolecular Substances.Polymers.Biopolymers.Collagen,D05.750.078.280
Macromolecular Substances.Polymers.Biopolymers.Collagen.Fibrillar Collagens,D05.750.078.280.300
Macromolecular Substances.Polymers.Biopolymers.Collagen.Fibrillar Collagens.Collagen Type I,D05.750.078.280.300.100
Macromolecular Substances.Polymers.Biopolymers.Collagen.Fibrillar Collagens.Collagen Type II,D05.750.078.280.300.200
Macromolecular Substances.Polymers.Biopolymers.Collagen.Fibrillar Collagens.Collagen Type III,D05.750.078.280.300.300
Macromolecular Substances.Polymers.Biopolymers.Collagen.Fibrillar Collagens.Collagen Type V,D05.750.078.280.300.400
Macromolecular Substances.Polymers.Biopolymers.Collagen.Fibrillar Collagens.Collagen Type XI,D05.750.078.280.300.500
Macromolecular Substances.Polymers.Biopolymers.Elastin,D05.750.078.421
Macromolecular Substances.Polymers.Biopolymers.Glucans,D05.750.078.562
Macromolecular Substances.Polymers.Biopolymers.Glucans.Cellulose,D05.750.078.562.180
"Macromolecular Substances.Polymers.Biopolymers.Glucans.Cellulose.Cellulose, Oxidized",D05.750.078.562.180.200
Macromolecular Substances.Polymers.Biopolymers.Glucans.Cellulose.Hypromellose Derivatives,D05.750.078.562.180.357
Macromolecular Substances.Polymers.Biopolymers.Glucans.Cellulose.Lignin,D05.750.078.562.180.515
Macromolecular Substances.Polymers.Biopolymers.Glucans.Dextrans,D05.750.078.562.272
Macromolecular Substances.Polymers.Biopolymers.Glucans.Glycogen,D05.750.078.562.388
Macromolecular Substances.Polymers.Biopolymers.Glucans.Glycogen.Liver Glycogen,D05.750.078.562.388.518
Macromolecular Substances.Polymers.Biopolymers.Glucans.Starch,D05.750.078.562.855
Macromolecular Substances.Polymers.Biopolymers.Glucans.Starch.Inulin,D05.750.078.562.855.750
Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins,D05.750.078.593
Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Desmin,D05.750.078.593.200
Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Glial Fibrillary Acidic Protein,D05.750.078.593.400
Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins,D05.750.078.593.450
Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.beta-Keratins,D05.750.078.593.450.074
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Hair-Specific",D05.750.078.593.450.149
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type I",D05.750.078.593.450.300
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type I.Keratin-10",D05.750.078.593.450.300.100
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type I.Keratin-12",D05.750.078.593.450.300.200
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type I.Keratin-13",D05.750.078.593.450.300.300
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type I.Keratin-14",D05.750.078.593.450.300.400
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type I.Keratin-16",D05.750.078.593.450.300.600
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type I.Keratin-17",D05.750.078.593.450.300.700
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type I.Keratin-18",D05.750.078.593.450.300.800
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type I.Keratin-19",D05.750.078.593.450.300.900
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type I.Keratin-20",D05.750.078.593.450.300.950
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type II",D05.750.078.593.450.600
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type II.Keratin-1",D05.750.078.593.450.600.100
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type II.Keratin-2",D05.750.078.593.450.600.200
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type II.Keratin-3",D05.750.078.593.450.600.300
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type II.Keratin-4",D05.750.078.593.450.600.400
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type II.Keratin-5",D05.750.078.593.450.600.500
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type II.Keratin-6",D05.750.078.593.450.600.600
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type II.Keratin-7",D05.750.078.593.450.600.700
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type II.Keratin-8",D05.750.078.593.450.600.800
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type II.Keratin-9",D05.750.078.593.450.600.900
Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Nestin,D05.750.078.593.540
Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Neurofilament Proteins,D05.750.078.593.630
Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Peripherins,D05.750.078.593.765
Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Vimentin,D05.750.078.593.900
Macromolecular Substances.Polymers.Biopolymers.Latex,D05.750.078.625
Macromolecular Substances.Polymers.Biopolymers.Lignin,D05.750.078.687
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins,D05.750.078.730
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Actin Capping Proteins,D05.750.078.730.032
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Actin Capping Proteins.CapZ Actin Capping Protein,D05.750.078.730.032.500
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Actin Capping Proteins.Tropomodulin,D05.750.078.730.032.750
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Actin Depolymerizing Factors,D05.750.078.730.212
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Actin Depolymerizing Factors.Cofilin 1,D05.750.078.730.212.500
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Actin Depolymerizing Factors.Cofilin 2,D05.750.078.730.212.750
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Actin Depolymerizing Factors.Destrin,D05.750.078.730.212.875
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Actin-Related Protein 2-3 Complex,D05.750.078.730.246
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Actin-Related Protein 2-3 Complex.Actin-Related Protein 2,D05.750.078.730.246.500
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Actin-Related Protein 2-3 Complex.Actin-Related Protein 3,D05.750.078.730.246.750
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Actinin,D05.750.078.730.248
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Actins,D05.750.078.730.250
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Cortactin,D05.750.078.730.281
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Filamins,D05.750.078.730.315
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Gelsolin,D05.750.078.730.350
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Myosins,D05.750.078.730.475
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Myosins.Myosin Heavy Chains,D05.750.078.730.475.100
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Myosins.Myosin Light Chains,D05.750.078.730.475.200
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Myosins.Myosin Subfragments,D05.750.078.730.475.300
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Myosins.Myosin Type I,D05.750.078.730.475.470
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Myosins.Myosin Type II,D05.750.078.730.475.475
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Myosins.Myosin Type II.Cardiac Myosins,D05.750.078.730.475.475.124
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Myosins.Myosin Type II.Cardiac Myosins.Atrial Myosins,D05.750.078.730.475.475.124.249
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Myosins.Myosin Type II.Cardiac Myosins.Ventricular Myosins,D05.750.078.730.475.475.124.500
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Myosins.Myosin Type II.Nonmuscle Myosin Type IIA,D05.750.078.730.475.475.249
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Myosins.Myosin Type II.Nonmuscle Myosin Type IIB,D05.750.078.730.475.475.500
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Myosins.Myosin Type II.Skeletal Muscle Myosins,D05.750.078.730.475.475.750
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Myosins.Myosin Type II.Smooth Muscle Myosins,D05.750.078.730.475.475.875
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Myosins.Myosin Type III,D05.750.078.730.475.612
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Myosins.Myosin Type IV,D05.750.078.730.475.681
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Myosins.Myosin Type V,D05.750.078.730.475.750
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Myristoylated Alanine-Rich C Kinase Substrate,D05.750.078.730.556
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Profilins,D05.750.078.730.637
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Tensins,D05.750.078.730.719
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Tropomyosin,D05.750.078.730.800
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Troponin,D05.750.078.730.825
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Troponin.Troponin C,D05.750.078.730.825.900
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Troponin.Troponin I,D05.750.078.730.825.925
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Troponin.Troponin T,D05.750.078.730.825.962
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Wiskott-Aldrich Syndrome Protein Family,D05.750.078.730.912
Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Wiskott-Aldrich Syndrome Protein Family.Wiskott-Aldrich Syndrome Protein,D05.750.078.730.912.500
"Macromolecular Substances.Polymers.Biopolymers.Microfilament Proteins.Wiskott-Aldrich Syndrome Protein Family.Wiskott-Aldrich Syndrome Protein, Neuronal",D05.750.078.730.912.550
Macromolecular Substances.Polymers.Biopolymers.Microtubule Proteins,D05.750.078.734
Macromolecular Substances.Polymers.Biopolymers.Microtubule Proteins.Tubulin,D05.750.078.734.800
Macromolecular Substances.Polymers.Biopolymers.Pectins,D05.750.078.738
Macromolecular Substances.Polymers.Biopolymers.Plant Gums,D05.750.078.739
Macromolecular Substances.Polymers.Biopolymers.Plant Gums.Chewing Gum,D05.750.078.739.249
Macromolecular Substances.Polymers.Biopolymers.Plant Gums.Chewing Gum.Nicotine Chewing Gum,D05.750.078.739.249.500
Macromolecular Substances.Polymers.Biopolymers.Plant Gums.Gum Arabic,D05.750.078.739.500
Macromolecular Substances.Polymers.Biopolymers.Plant Gums.Karaya Gum,D05.750.078.739.625
Macromolecular Substances.Polymers.Biopolymers.Plant Gums.Tragacanth,D05.750.078.739.750
Macromolecular Substances.Polymers.Biopolymers.Plant Mucilage,D05.750.078.764
Macromolecular Substances.Polymers.Biopolymers.Polyhydroxyalkanoates,D05.750.078.789
"Macromolecular Substances.Polymers.Biopolymers.Resins, Plant",D05.750.078.840
"Macromolecular Substances.Polymers.Biopolymers.Resins, Plant.Amber",D05.750.078.840.109
"Macromolecular Substances.Polymers.Biopolymers.Resins, Plant.Balsams",D05.750.078.840.219
"Macromolecular Substances.Polymers.Biopolymers.Resins, Plant.Frankincense",D05.750.078.840.490
"Macromolecular Substances.Polymers.Biopolymers.Resins, Plant.Propolis",D05.750.078.840.762
Macromolecular Substances.Polymers.Biopolymers.Reticulin,D05.750.078.850
Macromolecular Substances.Polymers.Biopolymers.Silk,D05.750.078.875
Macromolecular Substances.Polymers.Biopolymers.Silk.Fibroins,D05.750.078.875.500
Macromolecular Substances.Polymers.Biopolymers.Silk.Sericins,D05.750.078.875.750
Macromolecular Substances.Polymers.Biopolymers.Tannins,D05.750.078.937
Macromolecular Substances.Polymers.Biopolymers.Tannins.Hydrolyzable Tannins,D05.750.078.937.214
Macromolecular Substances.Polymers.Biopolymers.Tannins.Proanthocyanidins,D05.750.078.937.429
Macromolecular Substances.Polymers.Colestipol,D05.750.200
Macromolecular Substances.Polymers.Metal-Organic Frameworks,D05.750.215
Macromolecular Substances.Polymers.Polyelectrolytes,D05.750.230
Macromolecular Substances.Polymers.Cyanoacrylates,D05.750.259
Macromolecular Substances.Polymers.Cyanoacrylates.Enbucrilate,D05.750.259.341
Macromolecular Substances.Polymers.Cyanoacrylates.Enbucrilate.Bucrylate,D05.750.259.341.110
Macromolecular Substances.Polymers.Dendrimers,D05.750.327
Macromolecular Substances.Polymers.Fluorocarbon Polymers,D05.750.395
Macromolecular Substances.Polymers.Fluorocarbon Polymers.Polytetrafluoroethylene,D05.750.395.616
Macromolecular Substances.Polymers.Fluorocarbon Polymers.Polytetrafluoroethylene.Proplast,D05.750.395.616.755
Macromolecular Substances.Polymers.Hexadimethrine Bromide,D05.750.470
Macromolecular Substances.Polymers.Organically Modified Ceramics,D05.750.593
Macromolecular Substances.Polymers.Plastics,D05.750.716
Macromolecular Substances.Polymers.Plastics.Biodegradable Plastics,D05.750.716.195
Macromolecular Substances.Polymers.Plastics.Nylons,D05.750.716.392
Macromolecular Substances.Polymers.Plastics.Polyethylenes,D05.750.716.507
